Wd,Wn,Wout,N,DC Gain,Freq Corte,SR
5.7999999999999995e-06,2.4e-06,2.2e-06,3,398.0272200931011,112.20184543019599,100509.04
4.2e-06,3e-06,2.4e-06,5,375.29552508920546,81.28305161640971,24971.938
8.4e-06,4.4e-06,6.5999999999999995e-06,7,666.1524589397848,75.85775750291819,21671.014
