Wd,Wn,Wout,Ib,N,DC Gain,GB,SR,Custo
1.1548252211957658e-05,2.7322272782077376e-05,2.7919424496787075e-05,6.758415026713868e-05,11,920.7043606284517,14125375.446227267,29912438.0,0.222963402455838
2.6171312903355923e-05,5.974464000998697e-06,2.584478925357662e-05,5.872431869181942e-05,34,1404.7958180553305,15848931.924610823,23173898.0,0.16493267839353307
3.8257042950129154e-05,3.4661743296965006e-05,4.621977043773623e-05,1.5475900404009564e-05,35,1426.7924411163929,5248074.602497631,6692695.0,0.17123706010727746
1.7534054777599267e-05,4.445275016899137e-05,5.338978844145174e-06,1.0959985823917861e-05,39,933.3277510316892,4265795.18801585,7032386.0,0.22511643441580909
3.5028416997270506e-05,3.415524169394734e-05,1.3968096706450372e-05,5.539896468117001e-05,18,839.7732345622838,17782794.100388877,26560420.0,0.23266506476105808
9.287348798467476e-06,4.66641219204547e-06,4.708519233066359e-05,7.070920335520772e-05,35,1436.37499744858,10715193.052375862,23668238.0,0.16114710726359738
2.763347048290768e-05,1.738303544937435e-05,4.60704636354222e-06,7.118622744031772e-06,42,1080.6685138360476,3311311.2148258532,14268477.0,0.20378761347581364
1.761905919707818e-05,2.4316957505180187e-05,9.899860197752197e-06,6.26937132436384e-05,31,666.2781578773173,15488166.18912451,28644816.0,0.2534628804770987
7.3033731023080145e-06,4.287603588178509e-05,4.8155035032900336e-05,9.794358018318755e-05,24,794.7562868709015,11748975.549395071,36936652.0,0.2380614955997502
3.4805864155341424e-05,1.3857282793498513e-05,2.8609117940187747e-06,6.64497405232757e-05,32,343.236449197188,18620871.366628308,28273022.0,0.2921876792097094
1.819462864992031e-05,4.847867286927911e-05,2.2405278878567744e-05,9.471473151501167e-05,15,733.1581735228634,20417379.446694892,43191104.0,0.24544560259775175
2.5760122225144682e-05,1.482246218095839e-05,1.5167033890912804e-05,7.439655362310099e-05,20,879.709467343781,20417379.446694892,32749420.0,0.22787768735731392
4.791296049561299e-05,3.372892397534054e-05,3.2307526216325655e-05,2.616057824136742e-05,6,1322.9168945618771,10232929.922807349,12766083.0,0.1747479584255813
3.33761818698777e-05,3.0484414806418355e-05,2.8381207985383742e-05,4.093596894540218e-06,8,1490.3768404773264,5128613.839913555,4443635.0,0.2142639649633922
3.547900795506617e-05,4.8804136119539884e-05,1.2699536712484016e-05,1.7531319834142536e-06,41,1383.345101798053,1122018.4543019456,3833447.0,0.3221231677913395
4.792019113743e-05,1.6700893987436223e-05,3.370975663853699e-05,5.496402458449456e-05,14,1303.4429911693287,18620871.366628308,24246178.0,0.1770824030782421
4.2437962615502466e-05,1.6468828231338984e-06,1.6622277428321734e-05,1.2792395291392776e-05,45,1860.6161109713705,5248074.602497631,5335282.5,0.15657668634772406
4.056210608949906e-05,4.2617613218682656e-05,3.980662770576646e-05,4.83328867825305e-05,40,1209.2181304072315,12882495.51693109,20402412.0,0.18837765898661618
1.4497425476580617e-06,3.406853266148406e-05,1.4752001315519073e-05,1.2520379860297828e-05,36,905.35539441992,2187761.6239495156,6141121.5,0.2577817177150219
2.4684036353717657e-05,4.4398123890548615e-05,7.973789813780587e-06,5.798843588625469e-05,20,586.8307632682995,16218100.97358898,28523518.0,0.2629866796751487
3.705220076402849e-05,3.669342932096167e-05,2.3313620671654367e-05,8.742329655713193e-05,13,882.1693216672718,25118864.315095305,40140084.0,0.22758281099606034
3.4286088641974095e-05,8.978662540955248e-06,3.4871124253190336e-05,3.6764770364616874e-05,35,1502.8282566354812,11220184.543019421,14175841.0,0.15318098704446834
3.0338621248345573e-05,3.631128398063365e-05,4.588680741016501e-05,8.549931503407762e-05,9,1104.811406364707,22908676.52767728,38088116.0,0.2008934712369824
2.1735124646008807e-05,2.685435310228468e-05,2.5934444039348635e-05,4.083991346309883e-05,38,1133.728528189085,10964781.961431643,17578120.0,0.19742701569119328
4.8255061244400804e-05,4.131601556931716e-06,2.8390357933868553e-05,4.127856077859348e-06,49,1667.105423355729,1905460.717963216,2766434.5,0.2867175301354625
2.313499097880483e-05,3.028532458467102e-06,3.925584007081213e-05,2.647861914172064e-05,10,1877.2094437607443,9120108.393558927,11666041.0,0.10830184069542144
2.0246967810935917e-05,2.886963193143116e-05,3.7896233866215874e-05,3.835151959027815e-05,22,1238.7558860641525,10964781.961431643,16675898.0,0.18483680462604224
1.8465739881049247e-05,4.805237156416483e-05,3.459232370066413e-05,4.2775007511252494e-05,21,1115.78115475497,11481536.214968609,19988990.0,0.1995784667433028
4.004629643085384e-06,4.445277214079105e-05,2.1089213234497124e-05,1.3046210611667236e-06,19,1390.3485810762174,4677351.412871897,1094338.2,0.3325388042187362
4.074318778949809e-06,3.831520443999755e-06,6.110891935148134e-06,4.732744000049915e-05,11,679.1275322438515,7585775.750291697,19891976.0,0.2519225548076455
4.1317018252950866e-05,3.420095886196538e-05,2.8159392767055403e-05,8.816800358784905e-05,45,967.1433376716915,20892961.308539983,35655150.0,0.21739650508306416
4.348841963428209e-05,3.8932344893408205e-05,1.769961165210211e-05,5.458513577078249e-05,13,928.6215421974568,18197008.586099476,26260948.0,0.2220143260531595
2.262269074958835e-05,4.211432803526481e-05,3.687088350235213e-05,9.624563015393637e-05,22,933.7314450422473,20892961.308539983,40895812.0,0.22140177369880196
1.672219957660832e-05,4.1869797342787846e-05,1.7957910655024405e-05,7.417490783198378e-05,42,747.0668224908169,15135612.484361785,33594332.0,0.24377829581520916
3.9153833839880026e-05,3.679293056251881e-05,4.750043076372879e-05,2.645904834193376e-05,1,1454.3565629404347,7585775.750291697,12839185.0,0.15899155742015955
4.670492711534798e-05,1.0704113666223086e-05,4.246730593613179e-05,5.23794201431015e-05,30,1499.0324409241728,15848931.924610823,19910578.0,0.15363601249628098
4.861206802635656e-05,3.501529923681025e-05,3.899450107587067e-05,8.091563077731839e-05,46,1118.9236989778028,19054607.179632097,30389270.0,0.1992017525628499
5.7065805152909815e-06,1.610142782341514e-05,1.9835424711472e-06,1.3065380809667955e-06,42,1189.0418348621797,1479108.3881681839,1858157.9,0.36416749529109893
2.5133991749731944e-05,8.993371329558856e-06,2.859108114410883e-05,2.476418307858534e-05,20,1470.2789173371998,8709635.899560643,10783825.0,0.15708285661529053
1.1285661365258053e-06,2.2943796211144253e-06,4.201276892045931e-05,9.31070053843485e-05,17,942.3995832836753,3630780.5477009495,11766278.0,0.22036267596075065
4.176443302452019e-05,3.101660089590636e-05,1.4616433471394684e-05,7.297566489034176e-05,32,793.6657196464025,21379620.8950219,33740796.0,0.23819222793287728
3.935573393989591e-05,3.0012438187023345e-05,3.7472137585652188e-06,2.8543964381272353e-05,3,601.3675397391107,8128305.1616408415,68994744.0,0.2612440757700581
3.174789096778626e-05,2.1540921882551614e-05,3.3498718117368064e-05,2.5042049390267692e-05,31,1364.4580734790816,8317637.711026555,10735122.0,0.1697681872398209
6.78800902411313e-06,4.737592657300211e-05,1.5188894621972595e-05,5.128462302869275e-05,10,696.4402952617353,9772372.209557923,23868182.0,0.2498471780208146
4.532535145888999e-05,1.2862224967078135e-06,4.4957564707958485e-05,1.0407234994103814e-05,45,2108.240918886883,3630780.5477009495,4029450.0,0.18410678147487028
3.0375520413294123e-05,2.9422997258007775e-05,1.3206657858713119e-06,3.0555637364052366e-05,33,249.45957705490002,9120108.393558927,21700238.0,0.303429232241116
2.939927506407311e-06,1.000553607094325e-05,1.463139793053541e-05,9.637459337782837e-05,34,525.3928791141343,7943282.347242667,26709276.0,0.27035157911227775
3.7721407486840006e-05,1.4019355909494173e-05,1.6920883363371916e-05,7.775785689610634e-05,43,955.8067505160741,21877616.239495095,31965846.0,0.2187554845712227
3.9569650001800946e-05,4.9916189883863734e-05,3.954266174014465e-05,8.728057997662111e-05,6,1033.9466160429886,23988329.19019443,40301356.0,0.2093884261257782
4.53146140599723e-05,3.924980767223334e-05,7.170642734119028e-06,2.415986693777634e-05,44,839.6066453215609,8912509.381337289,16256020.0,0.23268503473597055
1.245834196732628e-05,3.914864865287981e-05,2.691686876540461e-05,7.380980828408106e-05,45,843.0927780434484,12589254.11794143,30200834.0,0.23226713269922783
6.59286986755082e-06,4.811313305557051e-05,1.1471778012742766e-05,2.852137852864454e-05,11,812.6136101961433,7079457.843841248,14007857.0,0.235920839352919
2.439000186756917e-05,1.1926996167196732e-05,1.6917288837610606e-05,8.929902794452406e-06,6,1452.0125441288562,5248074.602497631,4399895.0,0.21885240389426605
2.4978963749797825e-05,2.0990861581767726e-05,4.635232664574244e-05,7.861104643733516e-05,26,1205.6090700670889,17782794.100388877,30157892.0,0.1888102970377734
1.9778617988498993e-05,1.9284455106601714e-05,4.441456864371764e-05,7.90155174654101e-05,47,1170.0308092915122,14125375.446227267,26240990.0,0.1930752602012601
1.685329896689484e-05,3.5652419446078704e-05,1.0141183378868605e-05,1.7801196833197668e-06,2,1824.9224342299265,7762471.166286773,4459382.0,0.1868617282783875
3.695340782306713e-05,1.7997761426197352e-05,4.123557525381909e-05,8.954643898774687e-05,9,1223.712698095836,25118864.315095305,39189076.0,0.18664011488201515
1.1025144391610595e-05,1.2540528147339888e-05,1.2772713937804809e-05,1.1404842914873316e-05,17,1282.3799104260124,4466835.921509551,5460049.0,0.20852574430936374
2.2642044038904337e-05,9.186089061060662e-06,9.01262339045561e-06,4.585962783511734e-06,29,1405.5655270796017,2398832.9190194495,4018167.5,0.24625656274796162
4.265336631642635e-05,4.784768822013906e-06,1.9886672840516707e-06,6.298461817920466e-05,21,317.55995887242017,17378008.28749341,22790042.0,0.29526566230993817
4.068508968135243e-05,1.5816238925240523e-05,3.0958150281017954e-05,2.5563950532700858e-05,29,1402.8198540917122,9120108.393558927,10914465.0,0.1651695481374019
4.654980258797725e-05,1.6325195922542042e-05,3.473724588401869e-05,7.038762328989345e-05,30,1262.5726329406953,20417379.446694892,27969002.0,0.18198175927283397
9.66286820059098e-06,5.206602219547276e-06,3.293587353476123e-05,5.8620076918786e-05,49,1348.616548561116,9772372.209557923,19856028.0,0.1716671985674055
4.036608403101134e-05,3.1978497929751567e-05,2.313867255555028e-05,2.7669038970538202e-06,6,1537.2023615058756,6760829.753919693,5769145.0,0.17573082966476208
2.79056148192089e-05,4.98829689872701e-05,2.8835493823079157e-05,5.859340863324158e-05,29,1011.8219281626464,15488166.18912451,27504164.0,0.2120406349959227
3.2120471741851045e-05,2.5310197265773588e-05,1.8585869281252184e-05,3.409364574780966e-05,21,1112.9323221630802,12022644.3461739,16137599.0,0.19991997208388113
2.9647430536389525e-05,4.377643964994534e-05,4.80201628509712e-05,6.265276278507855e-05,34,1167.9886883446552,14454397.707458993,25056358.0,0.19332006054910925
6.9842867457992974e-06,1.514918044018753e-05,3.9892075797014346e-05,7.972588016819138e-05,12,966.500711335366,12022644.3461739,32434512.0,0.21747354026107923
2.6578868767440306e-06,2.0367752496510192e-05,2.9681766042457015e-06,4.7827542241552286e-05,29,267.2907820618549,5754399.373371464,19204298.0,0.30129170694174984
6.456128818536019e-06,2.0909146442946217e-06,4.52560822214663e-05,1.0355740951064305e-05,22,1798.2735229862155,3235936.5692962264,4753066.5,0.1794383918660086
1.1563302936333451e-05,3.089316662821402e-05,1.1946384283305649e-05,7.99472480391609e-06,17,1250.104585966082,3548133.8923356924,4182393.8,0.2428855652771201
2.8168339712828054e-05,4.3223746002654496e-05,3.0919388921190487e-05,2.3385080895185706e-05,6,1282.7230720203377,8912509.381337289,11547655.0,0.17956621454048008
1.698652134288246e-05,3.20911151029212e-05,1.6993775049128888e-05,1.7781851237112643e-05,8,1192.996243423713,6760829.753919693,8805793.0,0.1903222664215711
3.757737407931686e-05,2.5081092984169005e-05,4.578705751708981e-06,9.883839340962187e-05,45,349.07620905990234,23988329.19019443,42668384.0,0.29148763485242085
1.2110304181808217e-05,1.414995999236912e-05,2.0694489148513734e-06,1.723351266069765e-05,28,530.2001056619603,5888436.553555782,16447653.0,0.26977531024196
3.756234961429821e-05,3.86547493644968e-05,2.4917070112234752e-05,6.0828376072849275e-05,29,1008.0077541958337,17782794.100388877,27827022.0,0.21249786115349678
2.5142382515275847e-05,4.0958194462837566e-05,1.2459181470634511e-06,6.0955406465871384e-06,38,578.9493469759144,2818382.9312644056,39346770.0,0.2658728601562641
2.3792060518001477e-05,1.4711541137475963e-05,4.001067135159915e-05,8.688842283669002e-05,48,1203.0322787556013,16595869.07437528,29113438.0,0.18911919128341434
3.851541687167353e-05,2.4889799803516703e-06,3.961431177535147e-05,5.104417995459287e-05,26,1997.3730430223713,15488166.18912451,19697982.0,0.0938971645456917
2.566236066117283e-05,4.02003359974094e-05,4.383245958576355e-05,6.261273478910515e-05,40,1137.2078435612118,13489628.825916274,24397800.0,0.19700993088792318
3.57423991605692e-05,1.566584096974703e-05,4.5593572453163325e-05,3.0076931809704573e-05,40,1469.0732191707702,8709635.899560643,10986348.0,0.15722739033206048
4.345185539032562e-06,2.3792711753370416e-05,3.2566684034944226e-05,2.3822109921844572e-05,9,1111.5546627859028,5370317.96370243,10782991.0,0.2000851197433622
4.9435956747579406e-05,4.550412990018955e-05,1.6204121059162758e-05,8.06930619090743e-05,31,765.9890833824442,23442288.15319876,38934492.0,0.2415099796043146
3.377866351207144e-05,3.2189757612637394e-06,4.2148490618484916e-05,6.405070480528558e-05,19,1866.8480028261386,18620871.366628308,25625078.0,0.10954392400538111
3.608103969309456e-05,1.6334564893082743e-05,3.117643059735249e-06,5.414649735031599e-05,49,402.0399261040534,16218100.97358898,24464482.0,0.2851385807595434
3.970381080298263e-05,2.9591865656539603e-05,1.489913457884365e-05,3.905283883006041e-05,32,988.806055087386,13182567.385563815,18900008.0,0.21479967517106402
3.077736448704854e-05,4.895809079566609e-05,2.876863989957035e-05,8.742242775817939e-05,35,899.3761730386985,19952623.149688404,38355890.0,0.2255201304248644
7.114216492567802e-06,3.514546676941234e-05,2.815404251004257e-05,4.001451078642116e-05,6,981.8410992979826,8709635.899560643,18386962.0,0.21563460299579654
2.4682943963040213e-05,2.864101473993341e-05,2.3473743336289823e-05,4.719271159309882e-05,30,1065.8940151355919,13489628.825916274,21197900.0,0.20555871446115695
4.921069238982748e-05,4.034117098489481e-05,5.268273356307295e-06,5.4653635132848014e-05,40,502.2760866759641,16595869.07437528,28150836.0,0.2731227170503763
2.0499205475653888e-05,2.0655300571182904e-05,3.1246894439481274e-05,7.609107558383803e-05,1,1093.5369210043953,12022644.3461739,32050820.0,0.2022450062389971
4.470693481863027e-05,1.719107271828827e-05,3.319073163874224e-05,5.723522601045046e-06,31,1513.4128628912995,2630267.991895337,3290784.8,0.2536294637758446
2.632948876593312e-05,3.7442406699574325e-05,2.6301355829006513e-05,2.5587463930167355e-05,46,1223.9577452508745,7585775.750291697,12195448.0,0.1866107397223875
5.7133151431152435e-06,8.058565052711587e-06,1.4961373038091929e-05,8.956371221396234e-05,37,698.3025352129595,10964781.961431643,33429010.0,0.2496239410041531
2.8081598777253126e-05,2.430508023159115e-06,3.147552072421976e-05,6.37519608875913e-05,33,1809.95294501751,16982436.52461711,24208324.0,0.11636424968877768
2.1301186058513775e-05,7.974953420320861e-06,1.5135357906121991e-05,5.0054152721156026e-05,20,1111.707644167256,14454397.707458993,22028792.0,0.2000667810179173
1.2341836338533881e-05,4.0469678497296394e-05,4.5856315212847776e-05,7.994145456217772e-05,37,961.3683504644443,12302687.70812358,29567054.0,0.21808878478340923
3.43765050339267e-05,1.8224519813242638e-06,3.662652521621848e-05,9.183359474167167e-05,16,1893.0183236267414,24547089.15684982,36885016.0,0.10640674271101551
4.61151836436798e-05,2.271472415156554e-05,2.550266396036805e-05,1.9168897771519825e-05,38,1348.2477014359554,7079457.843841248,8704393.0,0.17171141431509737
3.0045284867562906e-05,3.623164136107787e-05,4.333468422004526e-05,1.9849833701755028e-05,12,1385.850828473172,7585775.750291697,9428816.0,0.1672037192184407
2.909638436994657e-05,3.303146849923475e-06,2.932182368803097e-05,4.016474518398451e-05,35,1750.6747615161564,12022644.3461739,15565349.0,0.12347025384750905
1.07924149490684e-05,6.025214144739923e-06,3.644377737400887e-05,1.7546678045446356e-05,23,1560.7174419347189,5370317.96370243,7192753.5,0.15009309371617519
1.1537706017087973e-05,3.887407287956765e-05,1.2824360358311764e-06,5.7706149447303605e-05,24,16.462856391950528,9120108.393558927,9413882.0,0.33135983956082044
